,msd_id,echo_nest_id,artist,title,year,peak,weeks
0,TRMMWJS12903CBB7F5,SOLBDWO12AB0188CC2,Aerosmith,Remember (Walking In The Sand),1979,6,67
1,TRMMCDR128F423AB03,SOSZNRJ12A8AE46E38,Michael Cera & Ellen Page,Anyone Else But You,2007,2,91
2,TRMMRUB12903CA097C,SOGDEWJ12AB0184C06,Brook Benton,Lie To Me,1986,10,13
4,TRMMFIS128E078EDEA,SOYURIX12A6701E960,Aerosmith,Cryin',1993,26,12
7,TRMMNZH128F92CF7D0,SOXCAWC12A8C144428,Buster Brown,Sugar Babe,2002,2,99
8,TRMMPDJ128F429472E,SOJWEBW12A8C13AEEC,Little River Band,Help Is On Its Way,1980,22,14
10,TRMMUIL128F1463720,SOSRKLH12CF5F88723,Eric Clapton,After Midnight,1970,12,18
11,TRMMEWQ128F4292A1F,SOCFKHP12A8C13B931,Lou Reed,Walk On The Wild Side,1972,14,16
15,TRMMDVB12903CE2FF6,SOVHIAK12A8C144F9C,Craig Morgan,Redneck Yacht Club,2005,19,45
16,TRMWMQX12903CC07B9,SOFYPIA12AB018C167,Thelma Houston,Don't Leave Me This Way,1976,24,1
24,TRMWMAY128F42895B1,SOLUYLK12A8C137F43,Eddy Arnold,Make The World Go Away,1965,14,6
26,TRMWWHN128F426758F,SOLOYAW12A8C138063,Atlanta Rhythm Section,Spooky,1983,14,17
28,TRMWWOG128F9312B0F,SOADMPA12AB018737C,Wayne Newton,Years,1990,13,35
29,TRMWGCP128F145841D,SOUQHTP12A6D4F7E73,Maxi Priest,Wild World,1987,18,25
32,TRMWBBX128F930100E,SOMNSXV12A8C14184B,Jody Reynolds,Endless Sleep,1958,6,17
35,TRMWQWJ128F425A43C,SOBVNFB12A8AE47215,Annie Lennox,Why,1992,20,34
36,TRMWZVX12903CE4EE3,SOFOSAP12A8C13AAD8,The Troggs,Wild Thing,1966,11,1
41,TRMWTDT128F9341FB2,SOLCKPL12AB018488F,Foo Fighters,DOA,2005,12,68
44,TRMWUXD128E0794FA9,SODKTBI12AF72A495A,Sting,Englishman In New York,1987,4,84
45,TRMWJGD128F14570E2,SOTRBLC12A58A7D18E,Helen Reddy,Ain't No Way To Treat A Lady,1987,16,8
46,TRMWDDD128F92E1ECF,SOFVBVA12A8AE484E7,Will Young,Leave Right Now,2003,81,81
47,TRMWOJA128F148C010,SOBMXKJ12A6D4F8297,Onyx,Throw Ya Gunz,1993,3,81
48,TRMWOEB128F426AB59,SOTYJNI12D021B3C4C,Roy Orbison,Crying,1962,16,2
50,TRMWXEM128F429D851,SOYNWBC12A8C13E6AD,The Mamas & The Papas,Do You Wanna Dance,1966,5,76
53,TRMWYUT128F426A835,SOEHVLQ12A8C134E88,Boston,More Than A Feeling,1975,19,5
63,TRMGMJL128F427E90E,SOVVSAI12D021931C3,Luther Vandross,Heaven Knows,1993,3,94
64,TRMGWBO128F428A374,SOJPMXC12A58A7C2BA,Martina McBride,Blessed,2001,20,31
65,TRMGHDK128F42891A9,SOUJMOE12A8C138654,A Flock Of Seagulls,Space Age Love Song,1982,18,30
66,TRMGRML128F425E8B0,SOODVRS12CF5F870B2,Britney Spears,Break The Ice,2007,17,43
70,TRMGFHZ128F92F7484,SOGCPCH12AB0180875,Bobby Vee,Rubber Ball,1984,14,6
74,TRMGQBY128F1474B22,SOTGTJV12A6D4F8B4E,Jr. Walker & The All Stars,Cleo's Back,1965,8,43
76,TRMGQWD128F4269F46,SOHVUZY12A8C133AA1,Bone Thugs-N-Harmony,Tha Crossroads,1995,20,1
77,TRMGPEE128F4288A71,SOGVBTG12A8C13F799,Ann Peebles,I Can't Stand The Rain,1974,21,38
81,TRMGTWK128F4271E2C,SOQXHYA12A8C1344C5,Sophie B. Hawkins,Damn I Wish I Was Your Lover,1992,21,5
83,TRMGSBN128F931A062,SOHRGZX12AB0182E6F,Frankie Goes To Hollywood,Relax,1983,23,10
93,TRMGSBG128F429F025,SOWAHPT12A8C13CCA0,George McCrae,Rock Your Baby,1974,17,1
99,TRMGXPF128F145678C,SOSHFXW12A6D4F7A44,Shai,Comforter,1992,24,10
100,TRMGYVB128F9322818,SOPNLBP12AB0187939,Jr. Walker & The All Stars,Way Back Home,1971,9,52
104,TRMGYEC128F14A2B40,SOKFJDC12A6D4FB161,The Doobie Brothers,What A Fool Believes,1978,20,1
105,TRMHWMW128F4242DE6,SONXVIY12A8C134EA9,Toby Keith,Country Comes To Town,1999,15,54
106,TRMHWDO128F931C671,SOHAAGT12AB018101C,The Yardbirds,Over Under Sideways Down,1966,11,13
109,TRMHWMV12903D10BC9,SOFQKUE12AC468E22B,Sir Douglas Quintet,Mendocino,1969,15,27
110,TRMHWMG128F428A57B,SODTKRU12A8C139C75,Lorne Greene,Ringo,1988,12,1
111,TRMHGPF128F426BE7F,SONMWXV12AB01803B4,Jonas Brothers,Year 3000,2006,9,31
112,TRMHGEW12903CC1516,SOKGRCB12A8C14135B,First Class,Beach Baby,1974,17,4
116,TRMHCJO128F424A38B,SOZZBBH12A8C133B6D,Sammi Smith,I've Got To Have You,1972,7,77
118,TRMHFMC128F425D630,SOMMOJQ12AF72A1D07,Tammy Wynette,Stand By Your Man,1968,16,19
120,TRMHQXM128F92F2E8E,SOEYBJZ12AF729C4E3,Will Smith Featuring Dru Hill & Kool Mo Dee,Wild Wild West,1999,17,1
122,TRMHSMC128F4270AC4,SOHYUXD12A8C13495D,The Intruders,(We'll Be) United,1967,6,78
124,TRMHDLB128F148BF08,SOBYDHI12A6D4F8232,Rihanna,Unfaithful,2006,20,6
130,TRMHXBU128F932A16D,SOPKTEV12A8C141E33,Jonas Brothers,Burnin' Up,2008,16,5
132,TRMHXUO128F9322178,SODYJYD12AB01855E3,Sneaker Pimps,6 Underground,1996,22,45
139,TRMHXKZ128F92EC205,SOGJWGP12AB017C1C4,Taylor Swift,Love Story,2008,49,4
147,TRMHYFM12903CD6C17,SOCEJQC12AB018DA26,Kanye West,Stronger,2007,27,1
153,TRMHYTH128F92E67EB,SOMIZXC12AB017B79C,Brad Paisley Duet With Keith Urban,Start A Band,2008,16,55
154,TRMCWIL128F4228CE9,SOJNLRD12A6D4FEA3F,Southside Johnny & The Asbury Jukes,I'm So Anxious,1980,4,71
155,TRMCGOG12903CDEAF8,SOESIQD12AF72A3AD6,Nina Simone,Trouble In Mind,1960,2,92
156,TRMCGJC128E0793D73,SOGREEV12A6D4F91A6,Rainbow,Since You Been Gone,1979,8,57
158,TRMCGJQ128F14A242B,SOJGYOE12A6D4F9942,Ashley Tisdale,He Said She Said,2007,8,58
159,TRMCRHR128F9309CFC,SOBNKEZ12AB0183DCC,J.J. Barnes,Real Humdinger,1966,5,80
160,TRMCRRZ128F93428C6,SODGUUH12A6D4F9343,Manfred Mann's Earth Band,Blinded By The Light,1976,20,1
162,TRMCZPO128F427F244,SOPUWIT12A8C13839D,Bobby Vinton,L-O-N-E-L-Y,1965,8,22
163,TRMCAWF128F42920DB,SOHXZXU12A8C13B85A,Skeeter Davis,(I Can't Help You) I'm Falling Too,1985,7,39
166,TRMCALU128F92D5BBF,SOVPRYM12A8C145240,Lesley Gore,Judy's Turn To Cry,1963,11,5
169,TRMCAFT12903CDCD25,SOUBZUK12A8C142106,Darryl Worley,Sounds Like Life To Me,2009,11,84
170,TRMCNHH12903CE393A,SOGYIIC12AB0186784,Jan & Dean,Baby Talk,1989,12,10
171,TRMCPIT128F147ADB0,SOAXAXA12A6D4F73C2,Rihanna,SOS,2006,28,1
179,TRMCUFM128F92E1732,SOTAWNJ12A8C13FEFC,Jean Knight,Mr. Big Stuff,1971,16,2
185,TRMCUMJ12903CDFEC9,SOHDHSC12AB018AF14,The Rattles,The Witch,1988,5,79
187,TRMCEZP128F429D33C,SOMJCGY12A8C13C9BC,The Brecker Brothers,Sneakin' Up Behind You,1975,9,58
188,TRMCJNX128F1456BE6,SODZFOT12A6D4F7340,Neil Diamond,Two-Bit Manchild,1970,6,66
189,TRMCOIB128E078F56C,SOSUBWD12D02193054,Etta James,My Dearest Darling,1960,13,34
191,TRMCYUT128F4259E78,SOBZMOI12A8AE4827F,Sade,By Your Side,2000,11,75
193,TRMCYQJ128F426EAEC,SOKIDML12A8C13527A,The Doobie Brothers,Takin' It To The Streets,1976,14,13
194,TRMCYKO128F42B1543,SODWRYK12A8C14085F,The Fiestas,So Fine,1988,16,11
196,TRMRWFW128F93001E3,SODBKOU12AB0180E5C,Fairground Attraction,Perfect,1988,6,80
198,TRMRHBY12903C9FFFD,SOVRZOW12A6D4FCB78,R. Dean Taylor,Indiana Wants Me,1970,15,5
204,TRMRHTW128F9305276,SOHGROC12AB0184F2A,Wham!,Wake Me Up Before You Go-Go,1984,24,1
206,TRMRCKZ128F422B8B9,SOWRJXC12A6D4FAF26,Aaron Hall,Don't Be Afraid,1991,16,44
209,TRMRFAW128F92F14C0,SOUPFBM12A8C1411C5,The Gentrys,Keep On Dancing,1987,13,4
211,TRMRZAS128F92F2645,SOCOGWU12AB017F6F4,Teena Marie,Square Biz,1981,13,50
215,TRMRARB128F148CFDB,SOQQXRA12A6D4FA226,Jr. Walker & The All Stars,Cleo's Mood,1965,6,50
217,TRMRAIA128F92F96E2,SOXDHNX12AB017D7F9,Roger Daltrey,Giving It All Away,1972,7,83
218,TRMRNAS128F9343251,SOVCOYG12AF72A065D,R. Kelly,Ignition,2003,42,2
219,TRMRNWA128F92DF770,SOOWGXP12A8C145F5F,Adam Ant,Goody Two Shoes,1982,21,12
224,TRMRLES12903CAA8C5,SONTWAN12A58A7DF5A,Foghat,Slow Ride,1975,17,20
226,TRMREFF12903CA7760,SORAZQF12AB01840E9,Deep Forest,Sweet Lullaby,1992,8,78
239,TRMRJFI128F14A4734,SOMFOEA12A6D4FB6AF,Tommy James And The Shondells,Mirage,1967,10,10
240,TRMRXYT128F92C2074,SOMVLCN12CF5F872B5,Jefferson Airplane,Greasy Heart,1968,3,98
245,TRMBMXQ12903CBCD88,SOWKPVR12AB0186E3F,Mark Dinning,Teen Angel,1973,18,1
250,TRMBMOI128F148B768,SOTIZMP12A6D4F9A8A,The Happenings,Goodnight My Love,1969,6,51
252,TRMBWUI128F4291C35,SOKWLTT12A58A78130,The Lovin' Spoonful,Rain On The Roof,1966,10,10
254,TRMBWOY128F9339C4F,SOYVAYO12A67AE17EA,Ashley Parker Angel,Let U Go,2006,15,12
255,TRMBGBV128F1496257,SODHQES12A6D4F9121,The Supremes,The Happening,1967,11,1
257,TRMBZGF128F425556E,SOPPJDO12A8C136994,Trisha Yearwood,Georgia Rain,2005,9,78
258,TRMBUII12903CC53C9,SOTFSDM12AB0187948,Chris Cagle,What Kinda Gone,2008,20,54
259,TRMBVUY12903CE0CF3,SOIQKSC12AB0187775,Barry White,What Am I Gonna Do With You,1975,11,8
263,TRMBODZ128F4281CD0,SOCAEWO12A8C140377,The Strokes,Juicebox,2005,98,98
265,TRMBXMO12903CB4F3F,SOWIGWS12AB018B005,Thomas Dolby,Europa And The Pirate Twins,1982,5,67
268,TRMBXLN128F9307BA1,SOYBHKJ12CF5F8914A,Backstreet Boys,I'll Never Break Your Heart,1996,2,35
269,TRMBXMA128F92FBC29,SOFMFIJ12A8C13225E,Ferlin Husky,Wings Of A Dove,1960,18,12
270,TRMBKIK128F42A236C,SOOQJSX12A8C13ADD1,Whitney Houston,Try It On My Own,2002,12,84
271,TRMFWAM128F92E9211,SOVYZSB12A8C141D21,Demi Lovato,La La Land,2008,8,52
274,TRMFHVZ12903CF7D53,SODOTXH12AC90711E9,The Fray,How To Save A Life,2005,58,3
276,TRMFRSO12903CF7D2D,SOPXDUB12AB017FD58,Bad Company,Can't Get Enough,1970,15,5
279,TRMFBRM128F4299942,SOLNQUN12A8C13C128,Hot Chocolate,So You Win Again,1978,11,31
280,TRMFZYH128F42A6ACE,SOHHPSH12A58A7F33D,Avant,Read Your Mind,2003,26,13
282,TRMFIYP128F421352E,SOKBQAZ12A6D4FBD6F,Keith Carradine,I'm Easy,1989,19,17
283,TRMFASC128F1456790,SORVAQE12A6D4F7A48,Shai,If I Ever Fall In Love,1993,27,2
285,TRMFUUE128EF365DA6,SOXKSTX12A6D4F6F8C,Gene Pitney,Yesterday's Hero,1986,5,64
286,TRMFJEU128F92F24DA,SOIGCVK12A8C1441C0,Foo Fighters,Times Like These,2002,20,65
289,TRMFVZD128F42BC1E1,SOBKGLY12D021B3AC9,The Fray,Look After You,2005,10,59
292,TRMFVXV128F42AA6FF,SOUGOJX12A8C13E002,Barry Manilow,Can't Smile Without You,1978,19,3
297,TRMFDBX128F9328ECE,SOHLWJR12AB01874AB,Henry Gross,Shannon,1993,20,6
298,TRMFOLO128F424A0FC,SOCXIHZ12A8C134D4B,Ashlee Simpson,Pieces Of Me,2004,21,5
300,TRMFOXM128EF34995F,SOLWJTP12A6D4F7D1A,Martha & The Vandellas,Quicksand,1963,12,8
303,TRMFYUV128F42649C5,SOEKLUM12A8C134B88,B2K,Why I Love You,2002,4,73
304,TRMQCJX12903CF5D8F,SOUYXGP12AB0186A78,Pebbles,Girlfriend,1987,20,5
306,TRMQRTH128F42592D3,SOSTLLM12A81C21647,Lionel Richie,All Night Long (All Night),1983,24,1
309,TRMQFJS128F4247AB1,SOERHMA12A8C134A0F,Rose Royce,Love Don't Live Here Anymore,1978,11,32
313,TRMQFAA128F9352E3D,SOWFUBS12AB0182F74,Maxine Brown,Oh No Not My Baby,1964,13,24
316,TRMQFAI128F92EAEA0,SOMZCKM12AB017B179,Lee Dorsey,Go-Go Girl,1967,6,62
317,TRMQPXI128F42ACF69,SOQFMUI12A8C13EC9D,The Bar-Kays,Shake Your Rump To The Funk,1976,16,23
319,TRMQULA128F4266031,SOKPBQL12A8C134E87,Montgomery Gentry,Daddy Won't Sell The Farm,1999,6,79
320,TRMQUXU128F1456259,SOPWVSZ12A6D4F5B78,Marianne Faithfull,Summer Nights,1966,9,24
321,TRMQESH128F425C358,SOUYYUQ12A8C1356EA,The Whispers,Innocent,1990,11,55
322,TRMQVRI128F92C9B25,SOCRBDO12A8C14415E,Jessica Simpson,Come On Over,2008,7,65
323,TRMQDWE128F935FA68,SOBWPPR12AB018355A,Doris Duke,To The Other Woman (I'm The Other Woman),1969,9,50
324,TRMQXNK128F42AE1AC,SOBWCXE12A58A7B7FA,Sarah McLachlan,Adia,1997,27,3
326,TRMQKJG128F92E6F69,SOZIRSX12AB017D0D3,Black Box,Everybody Everybody,1990,19,8
337,TRMQYSM128F92F1687,SOTVCHQ12A8C14107A,Mark Lindsay,Silver Bird,1990,10,25
340,TRMQYNA128E0799A6A,SOHHALP12A6D4FB6A8,Guns N' Roses,Patience,1988,18,4
343,TRMZMET128F426E786,SOCSSOJ12A8C139489,Derek Martin,You Better Go,1997,6,78
344,TRMZCQM128E0791395,SOVMFNL12A670215CA,The Style Council,You're The Best Thing,1984,5,76
346,TRMZRET128F92EB892,SOESZFK12AB0183AA8,Bee Gees,I.O.I.O.,1970,94,94
347,TRMZRPP128F932A4E5,SONNXHM12AB0183407,Sunscreem,Love U More,1992,19,36
351,TRMZBSX128F42A1760,SOOLPDT12A8C13BF53,La Bouche,Be My Lover,1995,38,6
353,TRMZFSR12903CB506A,SOSRPPF12AB018B39A,Ohio Express,Down At Lulu's,1968,9,33
355,TRMZFZZ128F428D013,SOQIULW12AF729CBFC,Carly Simon,Give Me All Night,1987,12,61
356,TRMZFJJ128F4277111,SOHUEKT12A8C13453C,Sly & The Family Stone,I Want To Take You Higher,1969,16,38
358,TRMZILF128F4276436,SOMUEOT12A8C13B267,Jerry Butler,For Your Precious Love,1962,2,99
361,TRMZIFG128F42696C6,SOUYUAL12A8C1357A2,Loverboy,Turn Me Loose,1980,17,35
363,TRMZNYS128F4261A2D,SOIBBFR12A8C1331B6,Dixie Chicks,I Can Love You Better,1998,7,77
364,TRMZNMK128F4272652,SOTRFFL12A8C133817,Train,Calling All Angels,2003,29,19
365,TRMZPMD128F148C810,SOSPVJY12A6D4F988F,Bow Wow Wow,I Want Candy,1982,7,62
369,TRMZTZJ128F145BA51,SOGEADZ12A6D4F770A,Kim Carnes,Bette Davis Eyes,1981,26,1
371,TRMZLZR128F4278C05,SOPTFFR12A8C134A4E,Lara Fabian,I Will Love Again,2000,17,32
372,TRMZDLZ128F429182A,SOUIBHH12A8C13F455,Joe Simon,Misty Blue,1972,5,91
373,TRMZOXQ128F93297E0,SOJYFLI12AB0181797,The All-American Rejects,Move Along,2005,39,15
376,TRMZKNP128E0792D95,SORWOXF12A679AE59A,Smokey Robinson & The Miracles,Yester Love,1968,8,31
379,TRMZYXA12903CBEEBB,SOLLCQK12AB018A572,Vic Dana,If I Never Knew Your Name,2000,12,47
380,TRMIMNB128F4240C0E,SOYKFER12A582918B0,King Floyd,Groove Me,1971,20,6
382,TRMIMLC128F93308E2,SORZJVG12AB0182280,Herman's Hermits,Dandy,1966,11,5
383,TRMIWOK12903CF26D6,SOTGBPZ12A58A79538,Eddie Rabbitt,Drivin' My Life Away,1980,25,5
384,TRMIBCS128F426D06B,SOLJVRR12A8C134E1F,The Buckinghams,Susan,1991,12,11
386,TRMIZVO128F9343193,SOHLUOU12AB0188406,Bad English,Forget Me Not,1989,11,45
387,TRMINCZ128F932A5B6,SOPEFQM12AB0186F95,Thomas Dolby,She Blinded Me With Science,1982,22,5
393,TRMINXO128F92E3524,SOYCSXM12A8C13EE60,Asia,Only Time Will Tell,1982,14,17
395,TRMIPJM128E078EB66,SORUWXN12A6701C442,Bon Jovi,Bed Of Roses,1992,20,10
397,TRMITIY128F932A6ED,SOXRLIZ12AB01831A5,Erma Franklin,Piece Of My Heart,1967,8,62
399,TRMIJQB128F92F5DE4,SOVGLOC12A8AE46F8D,George Michael,Fastlove,1996,19,8
401,TRMIVFN128F148778E,SOUDBGI12A6D4F8310,Robbie Nevil,Just Like You,1991,14,25
402,TRMIYWC128F9341FD8,SOAGJZX12AB01891C0,Lily Allen,Smile,2006,16,49
404,TRMAMOW128F145EC1E,SONFLOP12A6D4F78AB,Commodores,Easy,1977,22,4
406,TRMAMMD128F92F0712,SOHIZEN12A8C1428D1,Dave Dudley,Six Days On The Road,1963,11,32
414,TRMAGZC128F934DA03,SOBENYX12AB0186EB1,Stephen Bishop,On And On,1976,28,11
416,TRMAGQD128F93308ED,SOMJSGE12AB01822A6,Herman's Hermits,Listen People,1991,9,3
418,TRMAGZB128F42BC4D3,SOHUDJQ12A8C133026,Steve Perry,She's Mine,1984,13,21
419,TRMARAE128F92F0F61,SOWSFFZ12A8C132FA2,B2K,Uh Huh,2002,22,37
420,TRMAZWS128F9358997,SOXZXKS12A58A7FBF7,Faron Young,Hello Walls,1961,15,12
427,TRMAAYB12903CA52A5,SOBAMJO12AB0185B14,Switchfoot,Dare You To Move,2002,20,17
430,TRMANRG128F4260580,SOQZTCD12A8BEEEE93,SWV,You're The One,1996,20,5
431,TRMANXJ128F146FD01,SOWLUMJ12A6D4F8468,The Tams,Hey Girl Don't Bother Me,1971,8,41
436,TRMATJV128F92FC0FA,SOMCISQ12A8C1356CA,Cheryl Lynn,Got To Be Real,1978,18,12
440,TRMALOX128F14566A5,SOLWSUC12D021B3E27,Neil Diamond,Holly Holy,1969,14,6
442,TRMAJWD128F42BA91A,SOHCUQZ12A8C13F893,Omarion,Entourage,2006,5,78
443,TRMASKO128F4287F3C,SONUDGI12CF530D4F9,The Rolling Stones,Lady Jane,1966,6,24
444,TRMAVAA128F9358D29,SOAKCEV12A58A7DE25,Al Martino,Here In My Heart,1988,4,86
451,TRMAOGA128F422B8E6,SOSDGTI12A6D4FAF93,Captain & Tennille,Do That To Me One More Time,1979,27,1
454,TRMAXBO128F9309C45,SOSTGHO12AB0186AB1,Diana Ross & The Supremes,Reflections,1977,11,2
457,TRMAKGI128F92E9CE1,SOHGKPB12A8C142BFD,Anita Ward,Ring My Bell,1979,21,1
467,TRMAYTT128E0791E05,SOVUVUC12A67020C48,Boyz II Men,I Will Get There,1998,9,32
469,TRMNWRF12903CF874C,SOENSFP12AC9072A9D,Degrees Of Motion,Do You Want It Right Now,1994,2,94
474,TRMNHWW128E078F5B4,SOGDTQS12A6310D7D1,Common,The Light,2000,19,44
475,TRMNBGQ128F92FEEEC,SOYTSWR12A8C146951,Jack Greene,There Goes My Everything,1966,9,65
479,TRMNBMK128F9303F92,SOQSXCI12AB01858E6,Brian Hyland,Gypsy Woman,1970,20,3
480,TRMNQGE128F9303A3C,SODGDVL12AB0184238,James Carr,The Dark End Of The Street,1966,6,77
484,TRMNZCC128F429BEE1,SOGJCOF12A6D4F7816,Charlie Rich,Behind Closed Doors,1973,19,15
486,TRMNAXP128F426E3E3,SOFKGQQ12A8C1354F4,Peaches & Herb,Let's Fall In Love,1967,12,21
487,TRMNNQE128F4286FB8,SOIGAJW12A8C144007,Mary Wells,You Beat Me To The Punch,1962,12,9
494,TRMNPLV128F424AD42,SOQRBIJ12A8C134CE9,Billy Joe Royal,Tulsa,1993,3,86
496,TRMNUGP128F425FBF1,SOKWMOO12A8AE46F07,Rick James,Cold Blooded,1983,12,40
497,TRMNLDI128F92E8DD0,SONHWYI12A8C143975,Adam Lambert,No Boundaries,2009,2,72
498,TRMNSHB12903CC6550,SOIGGSO12AB018E470,Diana Ross,I'm Still Waiting,1970,5,63
501,TRMNDLK128F42AF309,SOOUWEI12A8C13EC42,Three 6 Mafia,Poppin' My Collar,2005,16,21
502,TRMNOLY12903CFA098,SOGWLIR12AC468BA32,The Friends Of Distinction,Grazing In The Grass,1969,16,3
506,TRMNXES128F9311F2B,SOHGTGF12AB017E508,The Shirelles,Sha-La-La,1986,4,69
507,TRMPMZE128F429DF35,SOVPTGJ12D02190F8E,Juanes,Me Enamora,2007,14,69
510,TRMPHGJ128F426E7D9,SONDRRH12A58A80A50,Burton Cummings,My Own Way To Rock,1977,4,74
511,TRMPHIY128F92EC1FD,SOMVORT12AB01812B0,The Police,Message In A Bottle,1979,7,74
515,TRMPHLR128F146B853,SOUASGG12A6D4F8A21,Edwin Starr,Contact,1978,7,65
518,TRMPFGP128F146A63C,SOVOBKJ12A6D4F6A2D,Lucy Pearl,Dance Tonight,1998,19,36
520,TRMPIPY128F4272358,SOHKGUK12AF729E1C7,Lionel Richie,Angel,2000,18,70
522,TRMPEGE12903CC5F5D,SOLFEXO12AB0187985,Sam Cooke,Win Your Love For Me,1959,17,33
524,TRMPENZ128F426501D,SODTYKF12A8C133CFF,Regina Belle,Show Me The Way,1987,9,68
529,TRMPJGO128F42699CF,SOQTDBM12A8C1339CF,Mariah Carey,Fantasy,1995,25,1
530,TRMPSRK12903CD3B36,SOQIBJI12AB018D71E,Lyn Collins,Think (About It),1972,7,66
534,TRMPXAZ12903CEE66E,SOYABGY12AC3DF40D4,The Killers,Spaceman,2008,67,67
537,TRMTMGT128F9335B46,SOIEJZC12AB0182DAA,Stray Cats,Rock This Town,1981,21,9
540,TRMTGPD12903CB0D6F,SONJFGX12A58A7FE14,Eric Clapton,I Shot The Sheriff,1974,14,1
543,TRMTCWV128E0793B2D,SOTIXTZ12AF72A39AC,Carpenters,We've Only Just Begun,1970,17,2
546,TRMTBDW128F932D663,SOWEEVF12AB017FF3C,Hugh Masekela,Grazing In The Grass,1968,12,1
549,TRMTBIO128E078493A,SOXYFVU12A6701E333,Cathy Dennis,Touch Me (All Night Long),1991,20,2
552,TRMTABS128F4264966,SOCAUKL12A58A788A8,The Fabulous Thunderbirds,Tuff Enuff,1986,19,10
554,TRMTACE12903CA6A58,SOWMPMI12A8C1401C9,The Grass Roots,Temptation Eyes,1970,18,15
555,TRMTAJA12903CEE424,SOICYCD12AC3DFB03C,The Cure,Pictures Of You,1989,8,71
558,TRMTURX128E0784222,SOZUBIK12A6701BE6D,Gwen McCrae,Rockin' Chair,1975,14,9
559,TRMTLUC12903D13D40,SOFPPDU12AC468A4E2,Cowboy Copas,Alabam,1979,12,63
561,TRMTLEF128E0786194,SOUYXAB12A6702036D,Gwen Stefani,What You Waiting For?,2004,20,47
564,TRMTEVP128F425BD7D,SOIQGYE12A58A78D23,A Flock Of Seagulls,Wishing (If I Had A Photograph Of You),1982,14,26
568,TRMTJQP128F428595E,SOQUBVQ12A8C136DE4,Timex Social Club,Rumors,1986,19,8
571,TRMTJVR128F42869A3,SOCKAUG12A8C1407C8,Jan & Dean,Surf City,1963,13,1
575,TRMTDVT128F149B044,SOIBEDZ12A6D4FA5D6,Taco,Puttin' On The Ritz,1982,21,4
576,TRMTOHX128F147FC83,SOFVTVI12A6D4F995F,Phil Collins,Do You Remember?,1989,19,4
577,TRMTYVG128F931900A,SOHAHDF12AB0183666,Little Milton,Blind Man,1965,4,86
581,TRMUMHJ12903CAA6D3,SOIJEKT12AB018CA4E,Restless Heart,I'll Still Be Loving You,1986,18,33
582,TRMUHKE128F4272ED9,SODTDLC12A58A7A44E,Xzibit,X,2001,10,76
583,TRMUQOR128F9311A37,SOKKUVI12AB017D035,The Platters,I'll Be Home,1993,2,97
585,TRMUIMH12903CBA327,SOTDEUE12AB0184A92,Neil Sedaka,Oh! Carol,1988,18,9
588,TRMUAKK128F92F1323,SOYJYYA12A8C141D7F,The Happenings,See You In September,1969,14,3
591,TRMUPIB128F426BED6,SOELIVH12A8C131648,Basia,Cruising For Bruising,1989,12,29
592,TRMUPNP12903CAC972,SOODHZL12AB01879C2,Al Hirt,Cotton Candy,1965,12,15
593,TRMUTZD128F429D846,SOXXMRL12A8C13B569,The Mamas & The Papas,Dancing In The Street,1966,6,73
595,TRMUTPE128E078435B,SOMARWU12AF729E5B6,Kool & The Gang,Hollywood Swinging,1973,19,6
598,TRMUTEA128F42264D8,SOAPLXO12A6D4F9E03,Len Barry,1-2-3,1986,15,2
600,TRMUJKH128F4267E7E,SOLUONV12A8C1308C7,Sly & The Family Stone,Stand!,1969,8,22
602,TRMUDRG128F930A0A7,SOKQTDT12AB017D2AB,KC And The Sunshine Band,Do You Feel All Right,1978,5,63
603,TRMUKCX128F42556A0,SORNMJM12A8C13714F,Rihanna,Take A Bow,2008,27,1
609,TRMUKHO128F92EF333,SOHMTGC12AB017B479,Ashanti,Only U,2004,19,13
610,TRMUKDA128F425A97A,SORUKIF12A8AE46229,Eurythmics,I Need A Man,1985,10,46
613,TRMLMXT128C7196B03,SOLVPSI12A6310E82F,Marvin Gaye,Try It Baby,1965,11,15
615,TRMLWXO128F1484DEB,SOIVWJH12A6D4F99E2,Janet Jackson,Because Of Love,1993,20,10
